equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type
31174,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,6/2/15,5,28855.00,12824.44,"6,750","37,766",616.80,2465.98,15,1089.45,R950,Ford F 250 Super Duty XL,42000,14.6,ICE
31175,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,6/2/15,5,28855.00,12824.44,"12,276","64,833",3606.77,6664.24,15,1981.35,R951,Ford F 250 Super Duty XL,42000,14.6,ICE
31176,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,6/2/15,5,28855.00,12824.44,"13,352","50,370",969.64,2182.80,15,2155.01,R952,Ford F 250 Super Duty XL,42000,14.6,ICE
31177,2015 FORD F250',ICE,DPW: Highways/General Oper/Maintenance,10707502,5/5/15,5,29705.00,12927.18,"14,501","83,944",207.24,4329.80,15,2340.46,R953,Ford F 250 Super Duty XL,42000,14.6,ICE
31178,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,7/16/15,5,32875.00,14915.51,"8,099","51,426",1039.28,3049.63,15,1307.18,R954,Ford F 250 Super Duty XL,42000,14.6,ICE
31179,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,7/15/15,5,32875.00,14915.51,"6,764","27,268",79.34,1154.55,15,1091.71,R955,Ford F 250 Super Duty XL,42000,14.6,ICE
31180,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,7/16/15,5,36275.00,16458.10,"7,998","47,306",312.77,2052.41,15,1290.88,R956,Ford F 250 Super Duty XL,42000,14.6,ICE
31181,2015 FORD F250',ICE,DPW: Highways/General Oper/Maintenance,10707502,7/29/15,5,32875.00,14915.51,"13,279","74,299",2572.61,6100.52,15,2143.23,R957,Ford F 250 Super Duty XL,42000,14.6,ICE
31182,2015 FORD F250',ICE,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,7/31/15,5,32875.00,14915.51,"11,932","43,821",903.54,1981.16,15,1925.82,R958,Ford F 250 Super Duty XL,42000,14.6,ICE
31183,2015 FORD F250',ICE,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,7/31/15,5,32875.00,14915.51,"17,080","84,970",1016.39,3949.93,15,2756.71,R959,Ford F 250 Super Duty XL,42000,14.6,ICE
31184,2015 FORD F250',ICE,DPW: Highways/General Oper/Maintenance,10707502,8/26/15,5,32875.00,15219.91,"12,226","63,197",1195.84,4404.75,15,1973.28,R960,Ford F 250 Super Duty XL,42000,14.6,ICE
31185,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,8/26/15,5,32925.00,15243.06,"24,978","119,968",3220.94,8605.03,15,4031.45,R961,Ford F 250 Super Duty XL,42000,14.6,ICE
31186,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,7/23/15,5,35055.00,15904.58,"7,249","56,620",515.85,3419.80,15,1169.99,R962,Ford F 250 Super Duty XL,42000,14.6,ICE
31187,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,7/21/15,5,35055.00,15904.58,"9,689","68,778",2593.76,5059.55,15,1563.80,R963,Ford F 250 Super Duty XL,42000,14.6,ICE
31188,2015 FORD F250',ICE,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,8/11/15,5,35055.00,16229.17,"12,081","47,075",430.69,2104.66,15,1949.87,R964,Ford F 250 Super Duty XL,42000,14.6,ICE
31189,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,7/16/15,5,40145.00,18213.94,"10,055","43,909",57.01,1633.67,15,1622.88,R965,Ford F 250 Super Duty XL,42000,14.6,ICE
31190,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,7/31/15,5,40145.00,18213.94,"19,120","56,897",330.41,2025.83,15,3085.97,R966,Ford F 250 Super Duty XL,42000,14.6,ICE
31191,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,6/16/15,5,28855.00,12824.44,"9,933","54,822",1766.94,3673.56,15,1603.19,R967,Ford F 250 Super Duty XL,42000,14.6,ICE
31192,2015 FORD F250',ICE,DPW: Solid Waste Management (Refuse Disposal),10707603,6/16/15,5,28855.00,12824.44,"18,987","94,941",3745.38,7395.48,15,3064.50,R968,Ford F 250 Super Duty XL,42000,14.6,ICE
31193,2015 FORD F250',ICE,DPW: Solid Waste Management (Refuse Collection),10707602,6/25/15,5,28855.00,12824.44,"20,379","109,955",2579.54,6292.96,15,3289.17,R969,Ford F 250 Super Duty XL,42000,14.6,ICE
31194,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,7/17/15,5,37965.00,17224.86,"15,698","65,279",2938.74,5188.03,15,2533.66,R970,Ford F 250 Super Duty XL,42000,14.6,ICE
31195,2015 FORD F250',ICE,DPW: Solid Waste Management (Refuse Collection),10707602,4/28/15,5,28855.00,12290.09,"11,441","65,330",1265.22,3548.54,15,1846.58,R971,Ford F 250 Super Duty XL,42000,14.6,ICE
31196,2015 FORD F250',ICE,DPW: Highways/General Oper/Maintenance,10707502,4/28/15,5,28855.00,12290.09,"10,312","57,503",599.28,3439.94,15,1664.36,R972,Ford F 250 Super Duty XL,42000,14.6,ICE
31197,2015 FORD F250',ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,5/14/15,5,28855.00,12557.27,"10,484","62,296",585.70,3343.03,15,1692.12,R973,Ford F 250 Super Duty XL,42000,14.6,ICE
31198,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,5/14/15,5,28855.00,12557.27,"9,350","57,072",1495.57,4947.38,15,1509.09,R974,Ford F 250 Super Duty XL,42000,14.6,ICE
31199,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,5/14/15,5,28855.00,12557.27,"10,154","52,140",494.58,3501.72,15,1638.86,R975,Ford F 250 Super Duty XL,42000,14.6,ICE
